                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.59025,                0.84347,                 1.7849,                 0.9373,                0.99714,                      1,                  0.995,                0.91434,                0.99714,                      1,                  0.995,                 0.8843,                0.39093,                0.61949,                0.64336,                0.80395,                 0.0847,                 0.0017,                 0.0017
                      1,                0.48225,                0.64018,                0.61755,                0.84904,                0.99907,                      1,                  0.995,                  0.919,                0.99907,                      1,                  0.995,                0.87638,                0.39932,                0.63606,                 1.3826,                0.80266,               0.068431,              0.0034307,              0.0034307
                      2,                0.52895,                0.70583,                0.89435,                0.84986,                0.99898,                      1,                  0.995,                0.87533,                0.99898,                      1,                  0.995,                0.86887,                0.54519,                0.60714,                0.67158,                0.83714,                0.05209,              0.0050901,              0.0050901
                      3,                0.57128,                0.63697,                 1.1557,                0.86878,                 0.9918,                      1,                  0.995,                0.90682,                 0.9918,                      1,                  0.995,                0.89163,                0.43458,                0.59636,                 0.8565,                0.81122,               0.035678,              0.0066783,              0.0066783
                      4,                0.57227,                0.64587,                0.54518,                0.87523,                0.99924,                      1,                  0.995,                0.85141,                0.99924,                      1,                  0.995,                0.85319,                 0.6082,                 0.6539,                0.45712,                0.84725,               0.019195,              0.0081951,              0.0081951
                      5,                0.72568,                  0.788,                0.70115,                0.91868,                0.99893,                      1,                  0.995,                0.86867,                0.99893,                      1,                  0.995,                0.85852,                0.57072,                0.74863,                 1.5732,                0.84966,                0.00901,                0.00901,                0.00901
                      6,                0.57957,                0.77826,                 1.4797,                0.87351,                0.95643,                0.73172,                0.84985,                0.77311,                0.95643,                0.73172,                0.84985,                0.77001,                0.45912,                0.62073,                0.88276,                0.82829,                0.00901,                0.00901,                0.00901
                      7,                0.58356,                0.68974,                0.98589,                0.89755,                 0.9928,                      1,                  0.995,                0.88583,                 0.9928,                      1,                  0.995,                0.89891,                0.48788,                0.62667,                0.87864,                0.83256,               0.008812,               0.008812,               0.008812
                      8,                0.68438,                0.72837,                0.73968,                0.90071,                0.99922,                      1,                  0.995,                0.82826,                0.99922,                      1,                  0.995,                 0.8428,                0.64574,                0.67769,                0.57312,                0.87575,               0.008614,               0.008614,               0.008614
                      9,                0.62837,                 0.6113,                0.76915,                0.89236,                0.99913,                      1,                  0.995,                  0.887,                0.99913,                      1,                  0.995,                0.88692,                0.50903,                0.60715,                0.43654,                0.83505,               0.008416,               0.008416,               0.008416
